nome_cliente,email,idade,data_compra,valor_compra,produto_id,ativo
vicente viana,moreiraleonardo@da.com,23,04/11/1993,R$ 190.92,927,sim
MIRELLA FREITAS,davi-luizcavalcanti@hotmail.com,,1976-11-14,5090.3,null,não
Dra. Rebeca Gomes,brenda78@yahoo.com.br,,1994-02-10,"699,63",411,no
isis fogaça,davi-lucca97@yahoo.com.br,45,31-02-2023,7689.6,null,não
CAROLINE AZEVEDO,ramosenzo-gabriel@araujo.org,,31-02-2023,R$ 120.32,180,false
CAUÊ CARVALHO,otaviorocha@carvalho.com,27,1997/11/15,3472.31,984,true
erick araújo,ribeiroeduardo@das.br,,2017-04-25,"676,12",,true
Emanuel Martins,vitoria56@da.br,,31-02-2023,4970.55,659,1
Felipe Souza,camposstella@almeida.com,36,1980/07/31,R$ 247.3,null,true
stella moreira,maria88@ig.com.br,,2004-08-18,382.27,,yes
davi farias,fernanda45@da.br,,2015-10-21,5985.7,null,0
Luana da Rocha,heitorcardoso@freitas.org,,1960/01/08,R$ 294.48,338-M,false
srta. luna araújo,caldeiraandre@da.com,,2005-03-09,7861.25,null,false
JOÃO VITOR DA LUZ,martinsana@nascimento.com,,2014-12-27,"144,14",198-O,true
francisco fogaça,ycarvalho@gomes.br,,1977/09/06,6971.98,959,yes
SARAH RAMOS,claricedias@bol.com.br,,1990/11/02,735.32,592,yes
Erick Rocha,barrosemanuella@carvalho.br,,1973/02/07,R$ 33.7,197-O,true
Cecília Castro,carvalholaura@uol.com.br,,2000-01-27,"51,64",null,sim
SRTA. MANUELA DIAS,gustavo-henriqueporto@hotmail.com,,1990-10-07,"954,48",618-D,no
Diogo Moraes,qribeiro@yahoo.com.br,,21/07/1949,5283.58,809,1
Dra. Mirella Nogueira,caua42@ferreira.com,,1936/04/13,6513.31,508-O,1
Agatha Melo,diogo58@duarte.org,41,26/06/1956,"893,33",471,yes
Dra. Joana Sales,oduarte@uol.com.br,,2016-12-29,1492.87,null,true
Luiza Alves,gmelo@gmail.com,,31-02-2023,4615.3,,sim
joão lucas gonçalves,omonteiro@santos.org,,1992-08-05,6446.0,827,no
davi luiz gomes,vmelo@ig.com.br,,1989-12-01,5631.77,531,1
Sr. Lucas Moreira,elisada-luz@mendes.br,47,30/11/1968,R$ 773.74,604-T,false
Cauê Alves,sophie83@ribeiro.com,34,17/09/1963,1210.17,697-C,true
eloah da cunha,emilly10@gmail.com,,1955/01/07,R$ 903.46,null,no
luiz felipe moura,nmoreira@bol.com.br,,1962/08/20,R$ 71.6,null,yes
Agatha Nunes,emanuella88@yahoo.com.br,34,1971-05-22,R$ 960.43,852-T,true
Sra. Raquel Gomes,leonardobarros@yahoo.com.br,35,05/09/1993,6746.4,510-X,yes
Stephany Gomes,camposmaria-julia@araujo.com,,1993-08-20,"208,19",740,no
nina costela,luiz-gustavojesus@ig.com.br,59,1995/07/23,R$ 363.54,210,
Erick Sales,da-rosamarcela@yahoo.com.br,,31-02-2023,7800.83,405,yes
Laís Campos,portomaria-cecilia@aragao.br,,10/03/2001,R$ 461.86,158,true
Davi Lucca Moura,rodrigo14@ig.com.br,,31-02-2023,2.51,null,false
LUCAS GABRIEL LIMA,yasmin04@ferreira.com,33,31-02-2023,3213.14,110,yes
evelyn peixoto,salesjoaquim@gmail.com,,1967/08/14,"80,48",,no
Isis Da Cruz,cnovaes@yahoo.com.br,44,2007-04-09,"993,80",null,não
sr. yuri freitas,maite84@hotmail.com,,1997-04-16,"978,95",,false
Isabella Moreira,martinscarolina@bol.com.br,,1988/03/14,1927.8,null,0
ana beatriz araújo,ana-luiza62@uol.com.br,35,1938/03/05,"984,2",,0
JOÃO GUILHERME SALES,silveiramaria-vitoria@bol.com.br,,26/02/1959,R$ 189.8,,sim
dra. stephany fogaça,piresandre@yahoo.com.br,,31-02-2023,"617,73",null,não
DRA. CATARINA RAMOS,teixeiragiovanna@hotmail.com,,1981/10/31,"553,70",,false
Srta. Helena Oliveira,xlopes@lopes.com,,1958/01/01,8782.39,null,yes
Pedro Henrique Fernandes,maria-juliafernandes@ig.com.br,39,01/11/2003,"790,83",891-T,no
Davi Fernandes,clara67@hotmail.com,24,31-02-2023,"359,36",,0
Ana Júlia Ferreira,crodrigues@hotmail.com,,1992/07/13,8750.6,null,no
Marcelo Da Cunha,gustavo-henrique10@bol.com.br,,13/04/1997,"502,13",,1
ANA VITÓRIA DA MATA,emanuellyfreitas@hotmail.com,,1943/02/19,357.23,null,1
Maitê Cunha,glopes@uol.com.br,65,2001-12-27,1642.26,,não
Thiago Ferreira,talmeida@hotmail.com,,1999/09/04,R$ 701.43,952-J,sim
Yago Ferreira,maitenovaes@alves.net,,2022-07-31,"397,6",339-D,yes
Sr. Davi Lucca Pires,fernando55@gmail.com,57,31-02-2023,"340,54",128,1
LUCAS GABRIEL RODRIGUES,email_invalido@.com,28,1949/05/25,7483.58,,sim
SOPHIA RIBEIRO,bnascimento@pereira.br,,1996-07-24,R$ 366.65,831,false
Samuel da Rocha,souzalavinia@da.br,,31-02-2023,5173.14,821-Y,false
Maria Fernanda da Luz,dcostela@yahoo.com.br,,31-02-2023,2973.37,,
Yasmin Pereira,zsilva@correia.br,61,31-02-2023,"399,33",,false
Stephany Nunes,silvalorenzo@bol.com.br,58,1983-03-31,"805,96",,yes
joão vitor mendes,juliana44@farias.com,42,2018-01-02,"769,39",,false
Dr. Benício Farias,knogueira@gmail.com,26,10/05/1977,5683.39,864-B,no
Lavínia Da Conceição,email_invalido@.com,,1965/05/14,5333.75,null,
joão miguel costa,tpinto@campos.br,,31-02-2023,R$ 806.3,null,
Miguel Ramos,laviniasilva@pinto.br,41,1985-12-12,"153,8",null,não
manuela das neves,lais65@gmail.com,,30/04/1974,1913.31,,false
NINA MOREIRA,larissa76@moraes.com,,2021-07-19,956.51,null,não
SAMUEL DA MATA,da-rochamaite@uol.com.br,58,09/03/2003,998.13,null,yes
JOÃO GUILHERME FOGAÇA,rodriguesalexia@uol.com.br,23,07/01/1949,5544.66,null,0
MILENA DA CRUZ,kazevedo@bol.com.br,40,2011-01-24,1413.88,,não
Emanuel Costela,esther86@gmail.com,40,31-02-2023,7598.84,546,não
maria cecília farias,gabrieldias@gmail.com,,07/05/1957,"397,51",883,não
davi lucca gomes,nogueirasabrina@gmail.com,60,20/09/1974,R$ 758.23,740,
EDUARDO DA MATA,email_invalido@.com,31,1991/02/09,"280,43",593-W,não
evelyn castro,noahlima@hotmail.com,,1997-01-20,"967,44",,1
GUILHERME REZENDE,fernanda26@uol.com.br,54,1996-08-11,"488,30",null,false
Isabella Gonçalves,hfogaca@ig.com.br,,16/04/1983,R$ 354.2,null,false
Daniela Dias,email_invalido@.com,,1992/09/13,"857,49",null,yes
Srta. Maria Alice Das Neves,mendesbenjamin@azevedo.com,69,1971/07/25,7815.2,265-F,no
Alexandre da Rosa,isis37@aragao.com,,31-02-2023,R$ 588.74,111,sim
Raul Lopes,martinsalexia@aragao.com,,31/07/1976,R$ 822.41,163,sim
sr. joaquim duarte,fmelo@ig.com.br,62,28/11/1957,9196.37,,0
Srta. Beatriz Pires,luanamelo@yahoo.com.br,48,1972/05/22,"621,27",null,sim
gustavo lopes,email_invalido@.com,,19/05/2000,"227,78",,true
Ana Laura Alves,email_invalido@.com,,2024-07-30,4607.29,null,1
Luigi Gomes,yasminda-cunha@bol.com.br,,31-02-2023,6017.9,,não
Gustavo Henrique Lima,email_invalido@.com,70,1995-02-05,9706.51,,no
gabrielly da mota,theo89@bol.com.br,,31-02-2023,"834,99",null,sim
Davi Luiz Costela,carvalhocaroline@castro.com,,2020-03-15,R$ 374.5,null,no
rafael barbosa,paulopereira@uol.com.br,,1993-10-17,"558,4",null,sim
Fernando Moura,erickda-luz@pires.org,63,2010-05-31,4560.22,243,false
Pedro Miguel Silveira,fernandanunes@dias.com,47,2007-10-25,"248,92",,false
DRA. NINA CORREIA,igorsales@fogaca.com,,1999-09-12,"683,17",null,0
JÚLIA DA CUNHA,heloisapeixoto@moreira.net,,2017-11-11,"525,89",,yes
joão miguel pinto,email_invalido@.com,,08/11/1947,5929.27,,true
sr. alexandre alves,cardosomaite@martins.org,,06/05/1961,"633,88",null,no
SR. ANTHONY LIMA,marcelo69@campos.net,40,31-02-2023,R$ 738.4,null,não
sr. enzo gabriel correia,ealves@da.net,,30/12/1979,"180,49",214,1
ana lívia melo,luiz-gustavocardoso@uol.com.br,,2007-08-05,R$ 819.49,655,0
Larissa Cunha,jlopes@novaes.net,48,2022-01-31,514.47,null,true
Davi Luiz da Cruz,paulo66@duarte.com,,04/02/1941,"727,27",425-G,não
Thiago Alves,freitasemilly@gmail.com,,06/02/1977,R$ 444.84,,1
CATARINA ARAÚJO,thomas13@gmail.com,,2005-11-25,R$ 896.48,null,yes
HELENA DA LUZ,yasmincosta@pereira.com,,1982-08-07,7666.52,,false
ANA LÍVIA DA MATA,email_invalido@.com,,2005/12/24,"865,18",478-A,false
Luiz Gustavo Farias,maria-juliasantos@gmail.com,,1972/07/23,8639.77,964,0
LUCCA NASCIMENTO,duartedavi@goncalves.br,,23/04/1980,"473,27",,1
Bryan Nogueira,souzagustavo@nunes.br,21,1936/02/27,"505,40",null,no
Ana Sophia Moraes,qporto@ig.com.br,,1986-11-22,4170.3,,0
alexia freitas,alana93@ferreira.org,33,31-02-2023,R$ 811.16,455,yes
srta. maria luiza freitas,fjesus@ig.com.br,,06/05/1991,3627.77,502-Y,false
maria barros,lpeixoto@ig.com.br,,25/11/1961,"689,76",730-H,não
Benício Monteiro,ribeirokevin@porto.org,,31-02-2023,2454.5,,sim
sr. diogo gonçalves,tfarias@barbosa.br,22,04/07/2002,R$ 729.4,421-R,yes
yasmin almeida,azevedomaria-fernanda@rocha.com,,31-02-2023,"116,19",176-Q,1
Marina Fogaça,igor42@gmail.com,66,07/04/1981,R$ 540.75,null,1
dra. milena costela,ateixeira@ig.com.br,,2021-01-21,R$ 811.78,null,no
Davi Porto,lgomes@dias.com,24,31-02-2023,R$ 2.57,,no
João Pedro Castro,julianamartins@da.com,,31-02-2023,R$ 227.16,,1
Sr. Pedro Miguel da Rosa,yagoferreira@moreira.br,,2017-07-02,206.13,583,false
MARIA LUIZA SANTOS,wmendes@araujo.com,59,16/07/1989,"584,22",521,sim
THOMAS DA MATA,rochastephany@uol.com.br,33,31-02-2023,"769,13",null,false
sra. ana júlia oliveira,ana-luizaferreira@gmail.com,,13/12/1947,6401.8,null,yes
IAN RAMOS,juliagomes@moreira.org,,18/11/1962,2536.73,,1
SR. DAVI LUCCA DIAS,barrosisaac@oliveira.com,,1963/08/27,R$ 534.85,,
Camila Lopes,email_invalido@.com,,31-02-2023,2917.51,,0
clarice mendes,sofia96@ig.com.br,32,1959/05/23,"635,2",null,sim
Sr. Eduardo Da Mota,davi-lucasaragao@hotmail.com,,31-02-2023,"924,3",149-C,não
Caroline da Luz,ana-livianogueira@dias.com,,1937/04/22,9395.95,null,1
antônio aragão,email_invalido@.com,,17/02/1994,"529,15",743-W,
Vitor Gabriel da Rosa,danielaaraujo@moreira.org,,1993/01/11,R$ 829.11,487-P,no
Leonardo Barbosa,eramos@moura.org,,31-02-2023,8029.87,null,1
Maria Luiza Pinto,carvalhoandre@araujo.net,,18/03/2004,2675.36,886,1
Yago Da Mata,cunhadavi-luiz@uol.com.br,,31-02-2023,9940.39,null,yes
kamilly sales,email_invalido@.com,,1970-02-24,R$ 888.51,null,yes
srta. catarina nogueira,ana-sophia65@da.com,20,2000/06/20,7845.3,311,false
murilo pereira,eramos@yahoo.com.br,49,1971-04-27,R$ 530.12,,1
Lavínia Da Mota,luiz-miguel57@da.br,,31-02-2023,"782,73",null,sim
ana lívia nascimento,eloah83@hotmail.com,,01/10/1942,"228,55",,sim
JULIANA NASCIMENTO,laisaraujo@fogaca.com,,1957/10/22,7886.69,null,false
Sra. Maria Clara da Costa,email_invalido@.com,,1961/05/31,6590.99,,yes
SAMUEL DA MOTA,ana-lauraoliveira@hotmail.com,,1960/05/18,R$ 91.4,897-R,false
Marcelo Gomes,vieiraluiz-otavio@da.com,,1990/07/06,8624.37,388,yes
VICENTE FOGAÇA,jnogueira@ig.com.br,53,01/03/1938,R$ 927.15,null,0
henrique nogueira,luiz-miguel66@porto.net,56,31-02-2023,R$ 24.23,397,
sarah almeida,maria-alicecarvalho@monteiro.com,,03/08/2000,"296,59",939,false
Sr. Davi Lucas da Conceição,thiago74@rezende.net,,1983-01-31,"806,27",,
Bruna Duarte,danielanogueira@hotmail.com,,2018-07-20,R$ 265.4,,1
SR. JOÃO PEDRO DA CRUZ,larissada-cunha@gmail.com,,11/01/1935,8772.79,null,true
pedro almeida,correiajoao-guilherme@hotmail.com,,1997-04-18,R$ 521.17,373,yes
FERNANDA FARIAS,benicioda-conceicao@ig.com.br,42,29/09/2000,5737.47,814,não
rafael barros,ada-rocha@rocha.br,,31-02-2023,"286,40",null,no
Juan Fernandes,joao-felipeda-conceicao@peixoto.com,63,2018-02-17,"26,24",,yes
vitor hugo da paz,elima@vieira.com,,1960/12/09,"679,76",907-Q,
Carlos Eduardo Fernandes,bruna01@cardoso.org,,1938/08/01,819.85,799-S,não
dr. marcelo vieira,hda-costa@hotmail.com,,1975-01-17,318.16,104-H,true
Dr. Theo Nogueira,moraesbruno@ig.com.br,,17/01/1955,R$ 950.42,null,não
MARCOS VINICIUS ALMEIDA,correiapedro-lucas@silveira.com,55,1989/07/02,R$ 797.9,null,não
srta. laura azevedo,santosnatalia@silveira.br,,1996-09-14,R$ 171.43,814,no
mirella santos,wcorreia@da.org,,1955/10/20,9430.49,,no
lucca costa,maysa27@gomes.net,,20/08/1943,"201,87",null,0
sra. fernanda freitas,eoliveira@uol.com.br,,1945/06/19,R$ 80.41,903,não
vicente almeida,davi-lucasnovaes@hotmail.com,,07/03/1957,2697.83,757-V,sim
Heloísa Da Cunha,joao-guilherme53@melo.org,59,1941/01/08,R$ 185.86,null,true
Augusto Cardoso,csantos@silveira.com,28,28/06/1943,"780,1",null,yes
BERNARDO PEREIRA,rvieira@gmail.com,32,2005/12/03,"317,43",381,
Igor Ramos,miguelmoura@souza.com,,24/07/1994,3432.43,,true
SR. OTÁVIO SALES,fariasmaria@gmail.com,,08/08/1986,7887.22,381,0
Julia Moraes,dmoreira@da.org,35,1977-11-09,"99,51",360,no
Yuri Cardoso,leticiacardoso@uol.com.br,,2002-01-05,8073.26,781-S,sim
DRA. MARIA EDUARDA DA CRUZ,cardosorenan@pinto.br,26,31-02-2023,R$ 971.46,360,1
IAN MELO,tpires@costela.com,,2004-12-05,R$ 275.18,136-H,não
Isadora Gomes,alexia90@bol.com.br,,1982/06/10,182.74,549-K,
Kevin Costela,email_invalido@.com,,1987-05-30,1771.21,654,true
joão lucas cavalcanti,andreribeiro@hotmail.com,,1974/05/09,"49,61",null,yes
Anthony Teixeira,vda-conceicao@bol.com.br,48,02/06/1963,"893,47",,true
theo fernandes,rpires@lima.com,18,1997/11/30,7721.78,null,true
luiz otávio da mota,wnovaes@goncalves.com,34,31-02-2023,5720.11,272,no
Pedro Lucas Da Rocha,azevedomatheus@hotmail.com,,1990/05/31,"678,58",null,yes
ANA LUIZA GOMES,stephany14@bol.com.br,,1973/05/25,R$ 323.14,286-F,não
Gabriela Gonçalves,sarahfernandes@uol.com.br,,31-02-2023,"381,54",207-I,false
Sra. Maria Vitória Costa,calebe35@ig.com.br,39,04/04/1956,"161,98",null,true
emanuella carvalho,araujojoao-lucas@correia.org,34,1971-01-18,R$ 280.87,,0
juan costa,eduardogomes@jesus.br,,31-02-2023,"246,67",208-B,0
elisa viana,email_invalido@.com,52,2000-11-26,1103.66,840,não
ANA CLARA RIBEIRO,marcos-vinicius45@gmail.com,39,1980/08/03,R$ 39.0,null,1
valentina teixeira,daviteixeira@gmail.com,,1944/09/23,R$ 757.73,null,true
SRTA. MARIA VITÓRIA ARAÚJO,maria-luiza47@sales.com,32,05/07/1978,9415.34,439,não
João Gabriel Pereira,da-costaana-luiza@moreira.com,50,30/05/1974,"310,87",821-I,
Camila Da Cunha,fmelo@nogueira.br,,1976-08-14,"695,23",null,
Dr. Anthony Fogaça,bfreitas@bol.com.br,,1984/07/22,"738,39",435-H,true
Luiz Henrique Ferreira,davi-lucascastro@hotmail.com,65,18/08/1997,R$ 966.25,,no
Bryan da Conceição,ycarvalho@gmail.com,,31-02-2023,R$ 770.59,138,true
Daniel Porto,ecavalcanti@rodrigues.net,,31-02-2023,"157,14",158-E,yes
Cauã Almeida,moreirapedro-miguel@yahoo.com.br,69,1991/01/04,"501,5",450-Y,
Caroline Rezende,vianabianca@ig.com.br,65,1991/12/13,R$ 333.27,,true
DR. PIETRO PIRES,frodrigues@ferreira.br,,31-02-2023,R$ 971.75,641-R,true
maysa pinto,moraesheloisa@ig.com.br,,2001-01-11,R$ 370.96,,1
Dra. Esther Moura,kaiquepinto@gmail.com,,1980/09/04,"542,31",null,1
NINA CASTRO,ceciliaviana@uol.com.br,,1965/04/30,"713,18",222-R,0
CLARICE GONÇALVES,jesuscamila@bol.com.br,42,07/03/1955,9393.27,null,no
sr. pedro miguel cardoso,levi41@oliveira.org,30,1943/02/28,"35,92",,0
ELISA SILVA,da-conceicaojoana@hotmail.com,,31-02-2023,1263.75,null,no
diego da rocha,brenda73@hotmail.com,,29/05/1966,3659.45,null,não
ISIS FOGAÇA,fariasamanda@das.com,,31-02-2023,"349,12",132,0
maria vitória dias,cfreitas@uol.com.br,25,31-02-2023,"990,49",995-G,no
Dr. Levi Da Cruz,vieirajoao-guilherme@hotmail.com,,1964/06/18,"74,29",354,
Lara Novaes,monteirovalentina@gmail.com,,2013-04-04,"918,25",null,true
Emanuel Caldeira,camila97@hotmail.com,,1988/07/14,R$ 61.42,null,no
Augusto Da Cunha,maria-fernanda80@bol.com.br,,1985/04/16,8989.41,null,no
Calebe Nogueira,dfernandes@ramos.br,21,31-02-2023,6352.48,,sim
stella ramos,da-motasamuel@hotmail.com,,1972/09/19,"614,97",null,yes
SOFIA ARAÚJO,salesmarcos-vinicius@novaes.br,22,31-02-2023,"458,80",288-C,true
Pietro Mendes,email_invalido@.com,,31-02-2023,"571,27",null,não
Natália Costa,natalia00@hotmail.com,34,2012-02-12,R$ 284.26,null,true
Ana Laura Lopes,maria-clara27@rodrigues.com,,1975-06-28,"847,39",null,não
Sra. Gabrielly Rezende,yazevedo@yahoo.com.br,40,2006-10-02,9973.94,,false
MURILO MOREIRA,stephany73@farias.org,,05/05/1955,"588,29",,não
Dr. Bruno Moura,vitor04@ig.com.br,,1975/10/31,"266,16",806-K,no
VITOR MOREIRA,vnogueira@almeida.br,48,31-02-2023,5218.77,374-N,1
MAYSA CAVALCANTI,xviana@uol.com.br,,1996/07/30,5143.9,null,sim
davi lucca duarte,isadorada-costa@hotmail.com,,19/07/1959,1566.26,null,não
Pedro Miguel Barbosa,nicolas74@farias.net,,13/01/1945,R$ 749.78,,1
alice alves,brezende@hotmail.com,,07/06/1990,"655,62",,0
RAFAELA DA ROCHA,ggomes@hotmail.com,,23/09/1940,667.24,null,sim
stephany freitas,yasmin93@gmail.com,,1960/02/04,"474,15",586-P,yes
larissa barros,scunha@rodrigues.com,,2017-09-08,R$ 171.54,null,false
Sophia Carvalho,ycardoso@lopes.br,70,31-02-2023,"406,80",166,true
lorenzo mendes,pereiramaria@yahoo.com.br,,2014-11-28,"761,46",802,0
sophia da rocha,jesuscecilia@gmail.com,,1999/08/15,8123.46,,0
dr. marcos vinicius azevedo,silvaotavio@yahoo.com.br,,07/04/1992,"98,17",null,yes
srta. yasmin da conceição,maria-juliaoliveira@ig.com.br,,22/02/1963,"376,85",null,0
maria sophia castro,cardosoraul@peixoto.com,,2022-05-06,R$ 116.64,,true
Olivia Costela,benicio37@das.br,,2005/12/30,"881,10",429-M,no
VITÓRIA PEREIRA,nicolasaraujo@bol.com.br,47,1976/06/15,6330.83,735,não
Ana Costela,vitor-gabriel80@nogueira.br,,1983-03-18,R$ 94.48,673,no
Anthony Cunha,costelaluiza@rodrigues.br,,1982-04-23,3721.74,191,false
davi luiz nogueira,sarah50@vieira.com,,1938/12/09,951.78,780,
Sr. Danilo Araújo,goncalvespietra@ferreira.br,,2022-01-05,"959,23",794-X,sim
maria clara alves,kaique95@hotmail.com,,1999-10-14,"136,66",null,false
isabel carvalho,jcaldeira@ramos.com,,31-02-2023,9894.6,null,sim
Dr. Davi Lucca Mendes,email_invalido@.com,26,06/04/1966,4937.7,141,
Leandro Cardoso,costelapaulo@yahoo.com.br,,1985-07-04,5856.19,547-B,false
Emanuelly da Conceição,da-luzleonardo@ig.com.br,,13/04/1952,R$ 260.6,828-B,1
lucas gabriel oliveira,email_invalido@.com,,2007-01-17,"457,45",487-B,não
sr. davi lucas moraes,ribeirojoana@uol.com.br,,1992/06/13,"47,36",null,1
Isabella Gonçalves,barbosamirella@hotmail.com,,16/09/1956,"850,34",null,
NICOLAS PORTO,da-luzana-carolina@hotmail.com,,1982-07-07,R$ 112.5,440-T,no
LUIZA DIAS,da-pazpaulo@bol.com.br,,1973/07/08,2948.97,781,sim
Otávio Campos,email_invalido@.com,,31-02-2023,5806.41,,false
Dra. Eduarda Correia,vitor01@sales.com,,1954/06/30,R$ 236.68,null,0
joão lucas ribeiro,costeladavi@aragao.net,,2018-08-07,7680.6,null,0
Ana Beatriz Rodrigues,catarinacostela@fernandes.org,,31-02-2023,"387,82",null,
alana da rocha,rezendeevelyn@yahoo.com.br,,31-02-2023,"427,73",,yes
Valentina Sales,maitecarvalho@da.br,,07/07/1992,R$ 937.5,null,sim
Camila da Mota,nmonteiro@bol.com.br,,25/05/1984,"822,10",,false
carolina costa,fernandeslevi@gmail.com,,1972/03/30,R$ 94.35,702,true
Evelyn Pinto,arocha@hotmail.com,,08/08/1945,R$ 538.57,,1
Ana Ribeiro,elisaramos@bol.com.br,,1979/01/04,"561,40",982-G,1
Samuel Ribeiro,nda-rocha@gmail.com,65,2004-05-13,2661.68,505,sim
nathan mendes,mfernandes@gomes.br,41,02/08/1945,2032.78,,
Dr. Vicente Dias,maria-luiza70@gmail.com,,2013-06-03,"974,34",972,1
Gabrielly Sales,uda-conceicao@cardoso.com,67,13/11/1966,"886,18",591-H,sim
SRTA. GABRIELLY DA CRUZ,ana-julia65@uol.com.br,,2005-03-03,"422,17",null,não
Pietro Moraes,lorena03@nascimento.net,22,31-02-2023,2578.12,null,0
Luiz Felipe Pires,vpires@barbosa.com,,2009-08-27,R$ 257.11,567,sim
Dr. Eduardo Jesus,emilly92@uol.com.br,,31-02-2023,9898.42,,0
srta. ana luiza monteiro,luiz-felipe03@vieira.net,,21/11/1942,"907,31",682-Y,yes
Juliana Viana,emilly18@yahoo.com.br,,1980-05-07,"624,46",855-O,1
Lucca Azevedo,email_invalido@.com,,02/11/1988,"470,48",,sim
NOAH FREITAS,luiz-gustavoda-costa@hotmail.com,57,17/05/1981,8672.37,null,true
Srta. Maysa Porto,brendacastro@novaes.net,36,31-02-2023,"184,70",868-J,false
Pietro Campos,duarteluna@uol.com.br,33,1970/03/11,R$ 414.76,,yes
LÍVIA MONTEIRO,pedro-miguel76@bol.com.br,,1998-07-19,R$ 403.43,,1
LUIZ HENRIQUE FOGAÇA,otavioaragao@almeida.com,,1993/06/09,3396.79,null,true
EMANUELLY CALDEIRA,email_invalido@.com,57,08/12/1972,R$ 431.99,877,yes
João Guilherme Moraes,jramos@ig.com.br,,27/07/1967,"393,17",,no
gabriela castro,ppeixoto@uol.com.br,,30/05/1955,"93,85",411-D,
Elisa das Neves,biancamartins@gomes.com,,31-02-2023,R$ 578.12,580-M,no
Pietro Jesus,cmelo@castro.com,,1988-11-08,R$ 587.94,896-R,sim
Thomas Cavalcanti,maria-eduarda31@nunes.org,,31-02-2023,"691,98",446,não
Natália Azevedo,znogueira@almeida.org,35,1974/02/02,R$ 969.85,178-E,1
Antônio da Cruz,tcostela@goncalves.br,,1981-03-29,1385.88,null,true
Yasmin Silva,raquel74@araujo.com,32,1986/12/02,707.42,,0
LORENA DIAS,danilomoraes@cardoso.net,,2009-07-24,R$ 286.32,770-E,1
Yasmin da Costa,silveiramarcela@bol.com.br,,11/04/1935,5239.4,416-O,false
JÚLIA DA CUNHA,henrique77@uol.com.br,,31-02-2023,R$ 171.6,,
VINICIUS TEIXEIRA,goncalvespedro@da.br,,2013-12-25,9647.4,409-T,sim
HELOÍSA MELO,ffernandes@ig.com.br,,2000-09-01,4922.73,676-Q,false
alana silveira,emanuellypeixoto@nascimento.br,61,09/02/1962,R$ 725.92,245-F,1
Srta. Rafaela Ramos,alexandreviana@cardoso.org,,1938/12/27,R$ 517.58,700,yes
raquel mendes,isaacnascimento@uol.com.br,,1936/02/04,R$ 437.74,123,não
Sr. Eduardo Rodrigues,sofiafarias@santos.br,,31-02-2023,6128.5,,1
Ana Carolina Rocha,enzorodrigues@uol.com.br,,1993/03/01,7344.69,247,1
Ana Carolina Porto,email_invalido@.com,,31-02-2023,R$ 639.93,401,sim
Vitor Lopes,evelyndas-neves@freitas.br,46,1943/01/02,R$ 307.12,,não
RENAN DA ROSA,oaragao@costela.com,24,21/10/1978,R$ 652.29,null,true
Gabrielly Ribeiro,anthony26@ig.com.br,,31-02-2023,R$ 601.1,,
Sra. Beatriz Monteiro,zlopes@bol.com.br,,1996-03-21,R$ 276.41,421-J,
Gabriela Cavalcanti,mariana52@monteiro.com,,1986-11-24,1131.37,532,sim
GABRIELLY CARVALHO,lopesjoao-gabriel@ig.com.br,,04/10/1948,9600.6,null,true
João Miguel Moreira,da-rochajoao-lucas@hotmail.com,,31-02-2023,R$ 269.84,606-E,não
Maria Sophia Fernandes,diasenrico@gmail.com,54,07/11/1982,"304,26",878,true
Nicole Moreira,carlos-eduardo65@freitas.com,,1977-02-13,"193,0",602-B,sim
Fernando Melo,qcavalcanti@silva.com,,1949/09/28,"907,44",null,true
SR. NATHAN DA PAZ,pintocatarina@ig.com.br,,12/02/1946,"584,88",,0
JOÃO GABRIEL GOMES,fcastro@gmail.com,19,31-02-2023,6594.34,959,sim
Ana Beatriz Cunha,heloisacosta@gmail.com,,2010-08-26,"194,92",864-W,yes
Sophia Jesus,moreiracaroline@ig.com.br,,2018-10-10,310.31,447-H,não
Heloísa da Mata,xcardoso@correia.org,,11/06/1960,817.17,null,true
MARIA EDUARDA DA PAZ,martinsluiza@ig.com.br,,1983/02/14,R$ 347.75,836-Y,no
otávio cavalcanti,caioda-cunha@bol.com.br,,1963/10/31,"814,36",148-Y,sim
Ian Martins,email_invalido@.com,,1980/02/16,2215.76,751-A,
Nathan da Paz,fda-cruz@jesus.com,,1982-09-13,"127,39",745,não
kevin ribeiro,yfarias@yahoo.com.br,54,1978-11-25,4034.19,380-U,true
maria alice da rocha,jramos@bol.com.br,,31/01/1974,"876,53",,yes
yasmin nascimento,mcorreia@da.br,30,1980-02-27,"631,35",294-C,yes
MARIA CECÍLIA TEIXEIRA,camposyago@yahoo.com.br,,1989/11/08,5892.79,null,0
Mariane Rodrigues,elisacardoso@ig.com.br,,1961/06/15,"756,9",null,não
kamilly correia,rmoreira@da.org,,1974/11/07,"449,63",618,false
REBECA AZEVEDO,larissada-mota@souza.org,54,1997-07-19,R$ 844.56,,não
ALICE DA CRUZ,zferreira@ig.com.br,51,31-02-2023,8277.14,,0
renan da cruz,dcaldeira@uol.com.br,,31-02-2023,R$ 151.32,null,não
STELLA DA PAZ,pereirajoao-pedro@ig.com.br,64,21/09/1937,6518.3,204,sim
Clara Melo,qpeixoto@farias.br,31,31-02-2023,"246,37",685,no
João Vitor Gonçalves,sophieramos@yahoo.com.br,,1984-06-27,R$ 213.63,884-W,0
EVELYN MONTEIRO,plima@uol.com.br,,1974/01/15,R$ 484.7,,true
